Artist,Genres,Popularity,Followers
Clutch,stoner rock; stoner metal; sludge metal,51,597708
Cocteau Twins,dream pop; shoegaze; gothic rock,64,1372151
Coheed and Cambria,,59,754183
Coil,industrial; industrial rock; experimental; dark ambient; drone; avant-garde,34,107503
Cold In May,ebm; synthpop; industrial; darkwave; industrial rock,21,5696
Coldplay,,87,60611615
Colin Stetson,,40,109668
Collapse Under The Empire,post-rock,28,32679
Colony 5,ebm; synthpop; industrial; darkwave,24,23117
Combat Astronomy,avant-garde; mathcore; experimental,2,1245
Combichrist,industrial; ebm; industrial metal; industrial rock; darkwave,44,193719
Come to Grief,sludge metal; drone metal; doom metal; stoner metal,5,4769
Comeback Kid,hardcore; melodic hardcore; hardcore punk; metalcore,43,193657
Comedy of Errors,progressive rock; progressive metal; art rock,10,6506
Company Flow,experimental hip hop; east coast hip hop; underground hip hop,30,50522
Conjure One,trance; new age,38,38841
Conjurer,sludge metal; doom metal; stoner metal; mathcore,29,40676
Conquer Divide,metalcore,46,133216
Constellatia,black metal,2,2564
Converge,mathcore; metalcore; hardcore; hardcore punk; grindcore; post-hardcore; sludge metal,40,230799
Corey Taylor,,53,688408
Cosmic Boys,techno; acid techno; minimal techno; hard techno,34,35642
Cosmograf,progressive rock; progressive metal; art rock,14,8849
Counterparts,melodic hardcore; metalcore; hardcore; post-hardcore; hardcore punk; deathcore,47,237954
Counting Crows,,68,1953423
Covenant,ebm; industrial; synthpop; darkwave,36,105594
Cradle Of Filth,black metal; gothic metal; metal; symphonic metal; death metal,50,636397
Crawlers,,43,167066
Crazy Lixx,glam metal; aor; arena rock; glam rock; hard rock,33,62606
Crematory,gothic metal; industrial metal; melodic death metal; doom metal; gothic rock,35,69550
Crippled Black Phoenix,post-rock; progressive rock; space rock; art rock; progressive metal,33,70325
Crown Lands,progressive rock,28,50158
Crown The Empire,metalcore; post-hardcore; screamo,48,560690
Crystal Ball,power metal; arena rock; aor; hard rock; heavy metal,27,14754
Crystal Castles,witch house; electroclash; new rave; alternative dance,69,3272366
Crystal Lake,metalcore; deathcore; djent; metal,43,223185
Cult Of Luna,sludge metal; post-rock; drone metal; stoner metal; doom metal; progressive metal; drone,34,145352
Cults,,66,1245801
Cultura Tres,sludge metal,11,11266
Culture Kultur,ebm; synthpop; industrial; darkwave,19,12876
Current 93,drone metal; industrial; avant-garde; experimental; dark ambient,33,76225
Currents,metalcore; djent; deathcore; metal,58,322816
Cursive,post-hardcore; emo,40,123702
Cyclotimia,,0,114
Cyhra,power metal; symphonic metal,38,45455
Cynic,progressive metal; death metal; djent; progressive rock; metal,31,129928
Daft Punk,french house; electronic; electro,81,10833551
Damian Wilson,symphonic metal; gothic metal; progressive rock,16,5145
Damnation Plan,melodic death metal; progressive metal,1,1783
Dan Whitlam,spoken word,41,37682
Dance Gavin Dance,post-hardcore; screamo; metalcore; emo; math rock,64,807771
Dance With the Dead,synthwave; darkwave; vaporwave,46,251701
Danger Mouse,,67,276642
Daniel Avery,idm; acid house,43,130001
Daniel Cavanagh,progressive rock,18,13906
Daphni,,41,122974
Dario Marianelli,soundtrack,58,114553
Dark Sky,,36,45544
Dark Tranquillity,melodic death metal; death metal; metal,48,407091
Darkseed,gothic metal; gothic rock; drone metal; doom metal; industrial metal,24,24431
DARKSIDE,downtempo,41,263505
Darkthrone,black metal; metal; death metal,42,495855
Daron Malakian and Scars On Broadway,alternative metal; nu metal,51,273853
Darren Korb,soundtrack,53,117279
Daughtry,,65,2375305
Dave Brubeck,jazz; cool jazz,46,442797
Dave Gahan,alternative dance,37,224031
Dave Hause,folk punk,39,43878
David Bowie,glam rock; art rock,75,11733032
David Byrne,art rock; art pop,55,438361
David Cross,comedy; spoken word,25,40172
David Gilmour,progressive rock,56,2010588
David Lynch,dark ambient,38,189108
David Sylvian,art pop; art rock,40,146564
Dawn Of Solace,melodic death metal; doom metal; gothic metal; drone metal,20,21789
Days Of The New,grunge; post-grunge,49,435679
De/Vision,ebm; synthpop; industrial; darkwave,34,57206
Dead by April,metalcore,49,421465
Dead Can Dance,darkwave; gothic rock; neoclassical; deathrock; post-punk; new age; cold wave,47,482892
Dead Kennedys,punk; hardcore punk; skate punk; proto-punk,54,946474
Dead Letter Circus,progressive rock; progressive metal; djent,32,63839
Dead Sara,,44,148574
DEADLETTER,post-punk,37,40025
Deaf Center,drone; ambient; dark ambient; neoclassical,24,25799
Deaf Havana,,47,124360
Deaf Radio,stoner rock; stoner metal; space rock,23,17366
Deafheaven,black metal; shoegaze; post-rock,47,297483
DEAR MOTHER,,13,9319
Death Angel,thrash metal; speed metal; metal; groove metal; heavy metal,39,404949
Death Cab for Cutie,,60,1599529
Death From Above 1979,garage rock,45,307314
Death Grips,experimental hip hop; experimental,55,968570
Death In June,darkwave; deathrock; post-punk; gothic rock; cold wave; industrial,40,114857
Death In Vegas,big beat; trip hop,40,162634
Deena Abdelwahed,,13,17987
Deep Purple,hard rock; classic rock; rock,65,5974068
Def Leppard,glam metal; glam rock; classic rock,69,5656545
Defeater,melodic hardcore; post-hardcore; hardcore; hardcore punk; screamo,34,117134
Deftones,nu metal; alternative metal; rap metal; shoegaze; rock,81,7653696
Deicide,death metal; grindcore; metal; black metal,45,455496
Deine Lakaien,darkwave; ebm; gothic rock; deathrock; cold wave; industrial,31,55787
Delain,symphonic metal; gothic metal; power metal; metal; gothic rock,45,297406
Delerium,trance,58,121380
Demons & Wizards,power metal; symphonic metal; metal; heavy metal,33,132992
Denzel Curry,,69,2854564
Depeche Mode,new wave; synthpop; darkwave,73,7347704
Derek Sherinian,progressive metal; progressive rock; jazz fusion,28,31600
Desiderii Marginis,dark ambient; drone; ambient,28,16191
dEUS,,42,130876
Deutsch Nepal,dark ambient; industrial; drone metal; drone,11,7109
Deva Premal & Miten with Manose,,28,12843
Devil May Care,metalcore,25,10093
Devil Sold His Soul,melodic hardcore; post-hardcore; metalcore; screamo; post-rock,20,20198
DevilDriver,groove metal; metal; melodic death metal,45,527024
Devin Townsend,progressive metal; progressive rock; djent,40,252378
Devin Townsend Project,progressive metal; progressive rock; djent; metal,40,251234
DeWolff,blues rock,36,65542
Dexter Gordon,hard bop; jazz; bebop; cool jazz,45,227695
Dhafer Youssef,sufi,39,129847
Diamanda Galás,avant-garde; experimental; gothic rock,23,62359
Diamond Head,heavy metal; speed metal; metal,35,197670
Diary Of Dreams,darkwave; ebm; industrial; gothic rock; deathrock; cold wave; synthpop; gothic metal,36,83444
Didier Marouani,space music; hi-nrg,20,3949
Dido,,72,2142450
Die Form,ebm; industrial; darkwave; cold wave; industrial rock; deathrock; gothic rock; industrial metal,28,25393
Die Krupps,ebm; industrial; industrial metal; industrial rock; darkwave,34,64319
Die Toten Hosen,german pop; neue deutsche welle,60,1620999
Digimortal,industrial metal; industrial,16,6462
DIIV,shoegaze; dream pop,46,411982
Dimmu Borgir,black metal; metal; symphonic metal; death metal,48,580521
Dinosaur Jr.,noise rock; grunge; alternative rock; power pop,49,591185
Dio,heavy metal; metal; hard rock; glam metal,60,2970071
Diorama,ebm; darkwave; synthpop; industrial; gothic rock,30,28669
Dire Straits,classic rock,76,8811293
Disarmonia Mundi,melodic death metal; death metal; metal,35,63879
DISPATCH,jam band,51,310107
Dissection,black metal; melodic death metal; metal; death metal,44,258796
Disturbed,metal; nu metal; alternative metal; rap metal; hard rock,74,7624290
DITZ,noise rock; queercore; post-punk,32,28487
